,Car_ID,Entry,Exit
50,50,2020-07-16 01:00:06.526970,2020-07-18 09:21:25.040165
51,51,2020-07-19 07:09:41.234952,2020-07-21 09:58:35.994921
52,52,2020-07-19 18:34:57.627895,2020-07-20 16:24:12.053478
53,53,2020-07-20 16:53:07.391186,2020-07-22 00:11:40.462376
54,54,2020-07-20 19:30:39.747094,2020-07-22 17:36:57.503400
55,55,2020-07-21 10:17:05.350294,2020-07-22 04:56:07.834654
56,56,2020-07-29 05:46:33.510677,2020-07-31 04:38:08.785216
57,57,2020-07-29 23:55:46.954058,2020-07-31 10:59:49.788164
58,58,2020-08-06 14:26:34.211502,2020-08-09 19:39:40.608230
59,59,2020-08-08 16:40:03.362908,2020-08-08 22:32:44.844046
60,60,2020-08-09 02:25:40.390308,2020-08-11 00:29:08.420787
61,61,2020-08-11 16:20:58.301256,2020-08-11 19:21:00.157100
62,62,2020-08-11 22:08:11.899750,2020-08-12 00:56:53.689782
63,63,2020-08-23 16:04:00.114941,2020-08-23 22:38:49.383069
64,64,2020-08-23 16:44:55.478902,2020-08-25 20:50:33.238778
65,65,2020-08-23 18:49:27.254795,2020-08-24 21:03:11.669605
66,66,2020-08-26 19:42:20.121328,2020-08-29 06:25:04.216867
67,67,2020-08-30 12:04:52.376367,2020-09-01 15:04:06.697863
68,68,2020-09-01 07:53:35.189485,2020-09-04 01:46:34.418831
69,69,2020-09-01 21:04:45.954746,2020-09-02 00:21:20.384890
70,70,2020-09-01 23:29:23.327197,2020-09-04 03:36:27.599268
71,71,2020-09-04 20:59:21.627336,2020-09-04 21:14:13.512513
72,72,2020-09-06 22:02:48.844708,2020-09-09 19:18:59.493800
73,73,2020-09-07 20:56:08.849010,2020-09-07 17:11:22.208439
74,74,2020-09-10 20:49:25.608264,2020-09-10 16:22:15.469677
75,75,2020-09-13 12:43:05.907306,2020-09-13 20:46:20.378757
76,76,2020-09-22 13:14:26.626890,2020-09-23 16:31:33.286800
77,77,2020-09-22 20:08:16.541390,2020-09-25 02:35:28.495664
78,78,2020-09-25 19:00:20.082560,2020-09-27 16:20:05.295171
79,79,2020-09-30 08:49:43.650493,2020-09-30 13:34:54.898003
80,80,2020-10-14 12:36:18.019371,2020-10-14 08:04:31.227930
81,81,2020-10-16 16:47:48.375413,2020-10-19 00:56:04.432798
82,82,2020-10-28 05:25:55.178749,2020-10-30 17:03:26.960882
83,83,2020-10-28 08:35:11.408377,2020-10-28 18:31:39.948458
84,84,2020-11-01 01:51:41.771114,2020-11-01 15:42:33.331368
85,85,2020-11-08 03:14:21.181906,2020-11-11 01:04:47.798134
86,86,2020-11-10 19:44:59.853261,2020-11-10 15:44:58.689115
87,87,2020-11-11 02:08:18.092609,2020-11-12 22:58:06.824762
88,88,2020-11-12 05:47:55.456880,2020-11-15 10:39:10.725393
89,89,2020-11-17 20:53:47.990798,2020-11-18 04:07:45.021795
90,90,2020-11-18 07:12:42.748733,2020-11-19 23:29:47.768409
91,91,2020-11-20 11:32:36.529249,2020-11-20 11:08:03.493774
92,92,2020-11-25 00:47:13.599962,2020-11-25 05:56:33.398602
93,93,2020-11-27 01:09:23.008335,2020-11-27 00:15:48.207882
94,94,2020-11-30 17:54:32.091150,2020-11-30 22:12:48.731873
95,95,2020-12-05 20:32:12.701391,2020-12-08 17:39:11.934064
96,96,2020-12-07 11:40:01.944011,2020-12-07 21:05:17.192522
97,97,2020-12-09 18:37:58.821923,2020-12-10 03:24:14.887783
98,98,2020-12-12 10:09:41.342597,2020-12-12 13:08:51.154567
99,99,2020-12-12 20:20:17.919324,2020-12-13 03:54:05.435475
100,100,2020-12-14 02:57:26.870141,2020-12-14 01:03:31.401069
